CustomerID,Age,Gender,Budget_Level,Recency,Frequency,Monetary,Avg_Items,Unique_Products,Preferred_Category,Second_Category,Preferred_Style,Influence_Source,Shopping_Intent,Preferred_Device,Purchase_Time,Wishlist_Count,Add_to_Cart_Count,Page_Views,Simulated_Cluster
1,20,male,high,15,1,521958,3.2,2,gadget,beauty,minimalis,Instagram,needs-based,mobile,night,6,18,79,Gadget_Enthusiast
2,21,male,high,4,1,1536074,1.4,4,gadget,fashion,sporty,Instagram,planned,mobile,night,4,1,92,Gadget_Enthusiast
3,16,male,high,2,2,727069,1.5,2,gadget,dekor,minimalis,YouTube,needs-based,mobile,morning,11,11,93,Gadget_Enthusiast
4,29,male,high,10,3,1317040,1.1,5,serbaguna,beauty,sporty,YouTube,needs-based,mobile,morning,13,14,55,Gadget_Enthusiast
5,20,female,medium,4,4,741723,3.8,5,fashion,beauty,kawaii,Friends,planned,mobile,afternoon,2,6,25,Trend_Seeker
6,17,male,low,4,2,261110,2.9,2,fashion,beauty,sporty,TikTok,impulsive,mobile,afternoon,9,8,94,Budget_Shopper
7,22,female,low,20,2,118148,1.5,4,serbaguna,dekor,minimalis,YouTube,impulsive,mobile,afternoon,11,7,39,Budget_Shopper
8,17,male,medium,4,2,754365,2.5,6,fashion,gadget,aesthetic,Instagram,planned,mobile,afternoon,13,5,58,Trend_Seeker
9,25,female,medium,6,5,491097,2.1,4,beauty,fashion,aesthetic,Instagram,impulsive,mobile,afternoon,11,1,18,Trend_Seeker
10,29,female,medium,14,5,685822,2.6,3,beauty,gadget,streetwear,Friends,impulsive,desktop,night,7,15,86,Trend_Seeker
11,27,male,medium,8,2,757086,3.1,6,fashion,serbaguna,kawaii,Friends,impulsive,desktop,afternoon,11,12,45,Trend_Seeker
12,24,male,low,13,1,88044,1.1,3,serbaguna,fashion,sporty,Instagram,impulsive,mobile,night,7,0,140,Budget_Shopper
13,18,female,medium,11,4,798663,2.6,5,dekor,serbaguna,streetwear,YouTube,planned,mobile,night,0,4,45,Trend_Seeker
14,22,male,high,8,1,1733382,2.3,2,gadget,serbaguna,sporty,Friends,needs-based,mobile,afternoon,6,4,103,Gadget_Enthusiast
15,18,male,low,22,2,265723,2.8,1,fashion,serbaguna,sporty,Instagram,impulsive,mobile,afternoon,4,14,135,Budget_Shopper
16,22,female,low,26,1,234064,1.5,2,fashion,beauty,minimalis,TikTok,impulsive,desktop,afternoon,10,8,19,Budget_Shopper
17,22,male,low,28,2,268969,1.2,3,serbaguna,dekor,minimalis,TikTok,impulsive,mobile,morning,0,19,100,Budget_Shopper
18,26,female,high,5,2,1274371,1.7,2,serbaguna,beauty,minimalis,Instagram,needs-based,desktop,afternoon,12,3,17,Gadget_Enthusiast
19,25,male,high,19,3,1773343,1.5,3,serbaguna,beauty,sporty,Instagram,needs-based,mobile,afternoon,12,5,32,Gadget_Enthusiast
20,26,male,low,12,2,145259,1.8,2,fashion,beauty,minimalis,TikTok,impulsive,mobile,morning,9,6,133,Budget_Shopper
21,18,female,low,25,1,178376,2.6,1,gadget,dekor,minimalis,Instagram,impulsive,mobile,night,6,5,141,Budget_Shopper
22,26,female,high,10,3,628576,2.0,4,serbaguna,beauty,minimalis,TikTok,needs-based,mobile,night,5,8,117,Gadget_Enthusiast
23,17,female,medium,4,3,589792,2.7,9,beauty,fashion,kawaii,TikTok,planned,mobile,afternoon,2,16,105,Trend_Seeker
24,21,male,high,17,1,1140976,3.9,5,serbaguna,beauty,minimalis,Friends,planned,mobile,afternoon,6,4,133,Gadget_Enthusiast
25,21,male,low,21,2,227789,2.0,4,gadget,dekor,sporty,TikTok,impulsive,mobile,night,6,3,127,Budget_Shopper
26,21,male,high,5,2,1211774,2.9,3,gadget,dekor,minimalis,Friends,planned,desktop,morning,10,15,148,Gadget_Enthusiast
27,18,male,medium,12,2,568400,3.5,7,fashion,dekor,streetwear,YouTube,planned,desktop,afternoon,3,3,94,Trend_Seeker
28,19,male,medium,3,4,709042,3.0,9,dekor,beauty,aesthetic,YouTube,planned,mobile,morning,8,0,132,Trend_Seeker
29,24,male,high,8,2,1143974,1.4,5,gadget,dekor,sporty,Instagram,planned,mobile,night,8,17,46,Gadget_Enthusiast
30,24,male,low,28,1,80306,1.3,4,serbaguna,dekor,minimalis,TikTok,impulsive,mobile,night,3,16,6,Budget_Shopper
31,26,female,high,12,2,1086976,2.7,5,gadget,serbaguna,minimalis,Instagram,needs-based,desktop,morning,6,8,103,Gadget_Enthusiast
32,23,female,medium,3,5,689439,4.6,8,beauty,serbaguna,streetwear,TikTok,planned,mobile,afternoon,0,19,79,Trend_Seeker
33,29,female,high,8,2,778480,2.8,4,gadget,beauty,minimalis,YouTube,planned,mobile,morning,8,2,97,Gadget_Enthusiast
34,24,female,medium,6,3,793409,3.3,7,beauty,fashion,streetwear,YouTube,planned,mobile,morning,3,0,72,Trend_Seeker
35,18,female,medium,8,5,630047,3.9,9,fashion,serbaguna,streetwear,Instagram,impulsive,desktop,morning,0,0,119,Trend_Seeker
36,28,male,high,14,3,838741,2.8,3,serbaguna,fashion,sporty,Friends,needs-based,desktop,morning,2,7,31,Gadget_Enthusiast
37,16,male,low,21,2,80746,2.0,4,gadget,dekor,minimalis,Friends,impulsive,mobile,morning,4,15,8,Budget_Shopper
38,27,female,low,17,2,152946,1.1,4,fashion,gadget,minimalis,Friends,impulsive,mobile,morning,13,13,121,Budget_Shopper
39,16,male,medium,9,5,328274,4.9,7,beauty,gadget,streetwear,TikTok,planned,desktop,night,13,2,120,Trend_Seeker
40,18,male,medium,5,2,215726,2.6,3,dekor,beauty,aesthetic,Instagram,impulsive,desktop,morning,1,9,58,Trend_Seeker
41,21,male,low,8,1,247177,1.1,2,fashion,serbaguna,sporty,Instagram,impulsive,mobile,afternoon,6,1,131,Budget_Shopper
42,16,female,low,2,2,132074,1.6,4,gadget,serbaguna,minimalis,YouTube,impulsive,mobile,morning,8,10,43,Budget_Shopper
43,24,female,low,23,2,104748,1.8,2,fashion,serbaguna,minimalis,TikTok,impulsive,desktop,afternoon,7,12,64,Budget_Shopper
44,23,male,high,4,3,880761,3.4,2,serbaguna,gadget,sporty,Instagram,planned,desktop,morning,13,15,146,Gadget_Enthusiast
45,17,female,low,23,1,272155,1.1,2,fashion,dekor,sporty,TikTok,impulsive,desktop,night,6,18,67,Budget_Shopper
46,16,male,low,22,1,176141,2.2,2,gadget,beauty,minimalis,YouTube,impulsive,desktop,morning,3,9,74,Budget_Shopper
47,23,female,high,11,2,584078,1.4,2,serbaguna,gadget,sporty,Friends,planned,desktop,afternoon,4,11,112,Gadget_Enthusiast
48,19,female,high,4,3,1825412,3.5,5,serbaguna,dekor,minimalis,Instagram,planned,desktop,afternoon,13,14,103,Gadget_Enthusiast
49,18,male,high,18,1,1357238,2.5,3,gadget,dekor,sporty,YouTube,needs-based,desktop,afternoon,0,18,96,Gadget_Enthusiast
50,29,male,medium,10,4,777769,2.1,7,dekor,fashion,streetwear,YouTube,planned,desktop,morning,6,8,144,Trend_Seeker
51,17,male,low,26,1,124740,2.8,3,fashion,gadget,sporty,TikTok,impulsive,mobile,morning,13,15,93,Budget_Shopper
52,22,female,medium,5,2,326615,3.9,7,dekor,beauty,streetwear,Friends,planned,desktop,afternoon,14,4,26,Trend_Seeker
53,20,female,low,12,1,240710,2.1,3,serbaguna,beauty,minimalis,Instagram,impulsive,desktop,morning,5,13,73,Budget_Shopper
54,27,male,high,14,2,1265264,3.9,2,gadget,dekor,minimalis,YouTube,needs-based,desktop,night,9,15,89,Gadget_Enthusiast
55,21,female,high,5,1,1805478,2.2,3,serbaguna,dekor,sporty,YouTube,planned,mobile,night,4,3,38,Gadget_Enthusiast
